dataset,sequence,method,kappa_bin,n,rmse_vs_ref
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,1e-01-1e+00,3736,0.052553772046236624
Oxford,2015-08-17-13-30-19_rtk,central,0e+00-1e-03,2461,0.28672762903617827
Oxford,2015-08-17-13-30-19_rtk,central,1e-03-5e-03,4485,0.18929457781750994
Oxford,2015-08-17-13-30-19_rtk,central,5e-03-2e-02,2856,0.21744535206435758
Oxford,2015-08-17-13-30-19_rtk,central,2e-02-1e-01,2154,0.18197066473341125
Oxford,2015-08-17-13-30-19_rtk,central,1e-01-1e+00,3095,0.1069021921165528
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,0e+00-1e-03,2461,0.23298642031334785
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,1e-03-5e-03,4485,0.1451563094618222
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,5e-03-2e-02,2856,0.19154548528365703
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,2e-02-1e-01,2154,0.16201000781793343
Oxford,2015-08-17-13-30-19_rtk,family_a_W5,1e-01-1e+00,3095,0.1054004163972551
Oxford,2015-08-27-16-07-13_rtk,central,0e+00-1e-03,11667,0.3018332461199386
Oxford,2015-08-27-16-07-13_rtk,central,1e-03-5e-03,5856,0.4897176113758103
Oxford,2015-08-27-16-07-13_rtk,central,5e-03-2e-02,3897,0.3726448643750029
Oxford,2015-08-27-16-07-13_rtk,central,2e-02-1e-01,3170,0.2780354150323401
Oxford,2015-08-27-16-07-13_rtk,central,1e-01-1e+00,3010,0.1016291538017214
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,0e+00-1e-03,11667,0.1781844883242813
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,1e-03-5e-03,5856,0.2961728641731049
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,5e-03-2e-02,3897,0.22183383876951768
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,2e-02-1e-01,3170,0.16636188527748938
Oxford,2015-08-27-16-07-13_rtk,family_a_W5,1e-01-1e+00,3010,0.05934923288432562
Oxford,2015-11-02-10-45-59_rtk,central,0e+00-1e-03,5861,1.42797469699474
Oxford,2015-11-02-10-45-59_rtk,central,1e-03-5e-03,7012,0.15229145376700046
Oxford,2015-11-02-10-45-59_rtk,central,5e-03-2e-02,4526,0.07918997004326848
Oxford,2015-11-02-10-45-59_rtk,central,2e-02-1e-01,4075,0.05219348182816923
Oxford,2015-11-02-10-45-59_rtk,central,1e-01-1e+00,8457,0.01661819425972421
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,0e+00-1e-03,5861,1.2606015753615476
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,1e-03-5e-03,7012,0.12432645788215868
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,5e-03-2e-02,4526,0.08277798260270985
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,2e-02-1e-01,4075,0.16109630012571532
Oxford,2015-11-02-10-45-59_rtk,family_a_W5,1e-01-1e+00,8457,0.028050895159366762
Oxford,2015-11-12-11-22-05_rtk,central,0e+00-1e-03,4184,0.5075420230574655
Oxford,2015-11-12-11-22-05_rtk,central,1e-03-5e-03,6227,0.4853360881978795
Oxford,2015-11-12-11-22-05_rtk,central,5e-03-2e-02,3694,0.3415850902553485
Oxford,2015-11-12-11-22-05_rtk,central,2e-02-1e-01,2936,0.2753943565839482
Oxford,2015-11-12-11-22-05_rtk,central,1e-01-1e+00,4660,0.08181785161346777
Oxford,2015-11-12-11-22-05_rtk,family_a_W5,0e+00-1e-03,4184,0.30028685434263974
Oxford,2015-11-12-11-22-05_rtk,family_a_W5,1e-03-5e-03,6227,0.2935262327025726
