central_M2,central_M3sm,family_a_W5_M2,family_a_W5_M3sm,family_a_W7_M2,family_a_W7_M3sm,sequence,n_frames
0.10384352493605536,0.054196941925857424,0.10231228917534635,0.026483551556536082,0.10332251770533962,0.020707644398857483,de9cf513-a0cd-3389-bc79-3f9f6f261317,160
,0.0843395984122669,,0.022284947927302,,0.013455182033683519,ded5ef6e-46ea-3a66-9180-18a6fa0a2db4,160
,0.05567180768260391,,0.018743659310367856,,0.015090676991928252,dfc32963-1524-34f4-9f5e-0292f0f223ae,160
0.07848078967253432,0.03884492330860662,0.09953199870448466,0.009659642206440413,0.09942562615844792,0.006877646906814907,dfc6d65f-20f5-389d-a5cd-81c1c7ecb11f,160
,0.07937000257219799,,0.025053511878273357,,0.019167117421020882,e0ea281b-6956-3605-b720-71b54ec87d25,160
,0.04790238643224522,,0.011123611959483762,,0.007584285311820962,e13c06cb-cd01-380e-946f-6d92ac1af49d,160
,0.08120478394367289,,0.020010421006230798,,0.014510242124418498,e1d68dde-22a9-3918-a526-0850b21ff2eb,160
,0.08936839517118862,,0.022293931264164464,,0.010469738464484547,e2e921fe-e489-3656-a0a2-5e17bd399ddf,160
,0.049424417334846704,,0.01162163578535055,,0.006355609767723402,e42aa296-0e5d-4733-87ec-131a82f917bc,160
,0.0498009202656896,,0.013909467004047018,,0.009224293037004118,e50e7698-de3d-355f-aca2-eddd09c09533,160
0.0013627479894216868,0.0015270058675644412,0.001008142731213323,0.00032797630587590274,0.0009710858953957225,0.00022806729508482077,e72ef05c-8b94-3885-a34f-fff3b2b954b4,160
,0.08002751876806204,,0.020562778592001268,,0.012418312214419048,e8c9fd64-fdd2-422d-a2a2-6f47500d1d12,160
,0.05390426548811114,,0.016134537528265738,,0.006443083721733869,ecbe6def-7560-352c-8822-b2b92613e1e4,160
,0.07140057936542853,,0.021491142005126036,,0.00948860965179985,eec284b2-840a-3c75-aa42-04d2e309bbe1,160
