run,mode,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_ins,m8_bias
2015-05-19-14-06-38,rtk,family_a_W5,22071,0.09848999999996977,0.0015875442732725675,0.057052691090220146,0.09747623898254323,0.0,0.153576737416132,-0.0030240683074683845
2015-05-19-14-06-38,rtk,family_a_W7,22071,0.09848999999996977,0.0004179726555626484,0.05751364195991446,0.030771755726131517,0.0,0.053785343188888016,-0.002361652232646025
2015-05-19-14-06-38,rtk,family_a_midspan_W5,22071,0.09848999999996977,0.0005991761545074414,0.0640130275236436,0.046021300152934055,0.0,0.06651225259044644,-0.0016771410670650994
2015-07-08-13-37-17,rtk,forward,27171,0.10476599999992686,0.0019038140600351472,0.056505443069107514,0.5679162311762062,0.0,0.41560421259385616,0.021392320392881636
2015-07-08-13-37-17,rtk,central,27171,0.10476599999992686,3.009117727115207e-05,0.05601066562216124,0.38970699170746004,0.0,0.3476977879778212,0.014682960044944585
2015-07-08-13-37-17,rtk,cubic_global,27171,0.10476599999992686,0.001865470611736475,0.05635185909949455,0.5771013416425023,0.0,0.43020059975923364,0.024451362841959066
2015-07-08-13-37-17,rtk,savgol_w7p3,27171,0.10476599999992686,0.045503218170688364,0.05347898623961096,0.0075585850264454375,0.0,0.21749060768236145,-0.1496674161121765
2015-07-08-13-37-17,rtk,smoothing_spline,27171,0.10476599999992686,0.011194997521251304,0.292034895116057,0.0030644585870575358,-0.20953199999985372,0.45441241879542194,0.02823203774282156
2015-07-08-13-37-17,rtk,family_a_W3,27171,0.10476599999992686,0.00257435426873609,0.05585545712975177,0.2721338008158346,0.0,0.3188676394130873,0.0047566267771290876
2015-07-08-13-37-17,rtk,family_a_W5,27171,0.10476599999992686,0.0016723132294333976,0.05559582464397599,0.0841562605641401,0.0,0.20852282436243244,0.0007038741629165308
2015-07-08-13-37-17,rtk,family_a_W7,27171,0.10476599999992686,0.0011571668477717845,0.05516076557261019,0.050690867401362,0.0,0.16182299475019504,-0.0013674932794749957
2015-07-08-13-37-17,rtk,family_a_midspan_W5,27171,0.10476599999992686,7.655154807229003e-05,0.057214897421977884,0.054918653569047834,0.0,0.09226195505298268,-0.0013632972587600276
2015-08-12-15-04-18,rtk,forward,22911,0.10476199999993696,0.0018998069376268134,0.054932928303813154,0.5771456027189824,0.0,0.42196055100682683,0.026152054219515743
2015-08-12-15-04-18,rtk,central,22911,0.10476199999993696,1.8175244695606274e-05,0.054197422267232245,0.3962370548593395,0.0,0.35289086849155404,0.01802438353909247
2015-08-12-15-04-18,rtk,cubic_global,22911,0.10476199999993696,0.0018611718588468218,0.054458977672595874,0.5866743809197991,0.0,0.4368480050715014,0.029904739417196884
