scenario,fs,noise_sigma,jitter_sigma,seed,method,rmse,bias,n
circle_r15_v5,2.0,0.01,0.0,0,family_a_W7,0.021260794187541412,-0.02095404578339237,41
circle_r15_v5,2.0,0.01,0.0,0,family_a_midspan_W5,0.011410547558193701,0.01109988702003684,41
circle_r15_v5,2.0,0.01,0.0,1,forward,0.025162395415236478,-0.005859671417698158,41
circle_r15_v5,2.0,0.01,0.0,1,central,0.02695149445960672,-0.022681922208023945,41
circle_r15_v5,2.0,0.01,0.0,1,cubic_global,0.021650278609160932,0.0004553381108947741,41
circle_r15_v5,2.0,0.01,0.0,1,smoothing_spline,0.24320630296233264,0.023469561379768425,41
circle_r15_v5,2.0,0.01,0.0,1,savgol_w5p2,0.07813325887916073,-0.07784678408594484,41
circle_r15_v5,2.0,0.01,0.0,1,savgol_w7p3,0.011786952913141087,-0.0004448358723787714,41
circle_r15_v5,2.0,0.01,0.0,1,savgol_w9p3,0.0073931473377802925,-0.0020891815120091654,41
circle_r15_v5,2.0,0.01,0.0,1,savgol_w11p3,0.006995835181662817,-0.005396273913181806,41
circle_r15_v5,2.0,0.01,0.0,1,family_a_W3,0.011786952913140844,-0.00044483587238120675,41
circle_r15_v5,2.0,0.01,0.0,1,family_a_W5,0.006995835181662874,-0.00539627391318215,41
circle_r15_v5,2.0,0.01,0.0,1,family_a_W7,0.02079243620445157,-0.020602599562206822,41
circle_r15_v5,2.0,0.01,0.0,1,family_a_midspan_W5,0.012107099049904197,0.011855627874378109,41
circle_r15_v5,2.0,0.01,0.0,2,forward,0.02955978931605203,-0.0031883751800237123,41
circle_r15_v5,2.0,0.01,0.0,2,central,0.027136847055369447,-0.021467905795626924,41
circle_r15_v5,2.0,0.01,0.0,2,cubic_global,0.026121136760265045,0.0022564482655465243,41
circle_r15_v5,2.0,0.01,0.0,2,smoothing_spline,0.243385248617542,0.023960640978786682,41
circle_r15_v5,2.0,0.01,0.0,2,savgol_w5p2,0.07772257955825725,-0.07737335679121253,41
circle_r15_v5,2.0,0.01,0.0,2,savgol_w7p3,0.012501731263603398,0.00023772893421304003,41
circle_r15_v5,2.0,0.01,0.0,2,savgol_w9p3,0.007695051204985267,-0.0014761069019707709,41
circle_r15_v5,2.0,0.01,0.0,2,savgol_w11p3,0.006885666358436551,-0.004819814705035341,41
circle_r15_v5,2.0,0.01,0.0,2,family_a_W3,0.012501731263603608,0.00023772893421057604,41
circle_r15_v5,2.0,0.01,0.0,2,family_a_W5,0.006885666358436899,-0.004819814705035857,41
circle_r15_v5,2.0,0.01,0.0,2,family_a_W7,0.020326847513332674,-0.020158247715781705,41
circle_r15_v5,2.0,0.01,0.0,2,family_a_midspan_W5,0.012326466161186196,0.011965379405103008,41
circle_r15_v5,2.0,0.01,0.0,3,forward,0.03451251532291261,-0.0068804690631593295,41
circle_r15_v5,2.0,0.01,0.0,3,central,0.02709047281469872,-0.023256091638803815,41
circle_r15_v5,2.0,0.01,0.0,3,cubic_global,0.024656881386746283,0.0001837341767282377,41
circle_r15_v5,2.0,0.01,0.0,3,smoothing_spline,0.24316378749154244,0.02238325978871888,41
circle_r15_v5,2.0,0.01,0.0,3,savgol_w5p2,0.07904223406943016,-0.07877680346473417,41
circle_r15_v5,2.0,0.01,0.0,3,savgol_w7p3,0.00988557561807985,-0.0012519476971057143,41
circle_r15_v5,2.0,0.01,0.0,3,savgol_w9p3,0.008064149119274621,-0.0029136960260615183,41
circle_r15_v5,2.0,0.01,0.0,3,savgol_w11p3,0.008540912489410685,-0.006675363483339113,41
circle_r15_v5,2.0,0.01,0.0,3,family_a_W3,0.009885575618079824,-0.001251947697107462,41
circle_r15_v5,2.0,0.01,0.0,3,family_a_W5,0.008540912489410937,-0.006675363483339399,41
circle_r15_v5,2.0,0.01,0.0,3,family_a_W7,0.021941540030804375,-0.021839464800057024,41
circle_r15_v5,2.0,0.01,0.0,3,family_a_midspan_W5,0.011227634494873483,0.011012966488939282,41
circle_r15_v5,2.0,0.01,0.0,4,forward,0.02051224412465285,-0.005380216934927861,41
circle_r15_v5,2.0,0.01,0.0,4,central,0.025058187794142657,-0.023371927117849363,41
circle_r15_v5,2.0,0.01,0.0,4,cubic_global,0.014126546906558991,-0.00031673562476946187,41
circle_r15_v5,2.0,0.01,0.0,4,smoothing_spline,0.2431941226479543,0.022604361991346637,41
circle_r15_v5,2.0,0.01,0.0,4,savgol_w5p2,0.07865799579647581,-0.07849116971428806,41
circle_r15_v5,2.0,0.01,0.0,4,savgol_w7p3,0.007840231269949486,-0.0009362734341705723,41
circle_r15_v5,2.0,0.01,0.0,4,savgol_w9p3,0.006824573811997842,-0.002791595194557076,41
circle_r15_v5,2.0,0.01,0.0,4,savgol_w11p3,0.007973656009435864,-0.006262246363419389,41
circle_r15_v5,2.0,0.01,0.0,4,family_a_W3,0.007840231269948964,-0.00093627343417232,41
circle_r15_v5,2.0,0.01,0.0,4,family_a_W5,0.00797365600943661,-0.006262246363419877,41
circle_r15_v5,2.0,0.01,0.0,4,family_a_W7,0.02175723534904469,-0.021499906093112718,41
circle_r15_v5,2.0,0.01,0.0,4,family_a_midspan_W5,0.010778385349396598,0.010654245733031406,41
circle_r15_v5,2.0,0.01,0.005,0,forward,0.02679642299532154,-0.004268560212736704,41
circle_r15_v5,2.0,0.01,0.005,0,central,0.02674780310606676,-0.022066174496825488,41
circle_r15_v5,2.0,0.01,0.005,0,cubic_global,0.023703915033206912,0.0006410893822193383,41
circle_r15_v5,2.0,0.01,0.005,0,smoothing_spline,0.24379205407361487,0.024641142877806273,41
circle_r15_v5,2.0,0.01,0.005,0,savgol_w5p2,0.08838908062418435,-0.08762113247436884,41
circle_r15_v5,2.0,0.01,0.005,0,savgol_w7p3,0.020642068944966004,-0.010360400843993435,41
circle_r15_v5,2.0,0.01,0.005,0,savgol_w9p3,0.01693970969455399,-0.012294932023894999,41
circle_r15_v5,2.0,0.01,0.005,0,savgol_w11p3,0.018063541867975076,-0.015299812997932963,41
circle_r15_v5,2.0,0.01,0.005,0,family_a_W3,0.01149320114919005,0.00045942191823271854,41
circle_r15_v5,2.0,0.01,0.005,0,family_a_W5,0.0066099051552353846,-0.004478229414995577,41
circle_r15_v5,2.0,0.01,0.005,0,family_a_W7,0.01978936567572142,-0.019570861882072417,41
circle_r15_v5,2.0,0.01,0.005,0,family_a_midspan_W5,0.012966913500093893,0.012682223952101713,41
circle_r15_v5,2.0,0.01,0.005,1,forward,0.022636722870130487,-0.006257422085389486,41
circle_r15_v5,2.0,0.01,0.005,1,central,0.02576422961912852,-0.022951019118945884,41
circle_r15_v5,2.0,0.01,0.005,1,cubic_global,0.018943877091562835,0.0002829883189502857,41
circle_r15_v5,2.0,0.01,0.005,1,smoothing_spline,0.24266193155791854,0.023150817150317415,41
circle_r15_v5,2.0,0.01,0.005,1,savgol_w5p2,0.07315348090886911,-0.07147726930116255,41
circle_r15_v5,2.0,0.01,0.005,1,savgol_w7p3,0.02634662559865154,0.0057173639476163106,41
circle_r15_v5,2.0,0.01,0.005,1,savgol_w9p3,0.016765118320491452,0.004631577593889421,41
circle_r15_v5,2.0,0.01,0.005,1,savgol_w11p3,0.010157872225754578,0.0014541315475661467,41
circle_r15_v5,2.0,0.01,0.005,1,family_a_W3,0.008030081416834388,-0.0007513281745557704,41
circle_r15_v5,2.0,0.01,0.005,1,family_a_W5,0.006851598020457854,-0.005875818651974256,41
circle_r15_v5,2.0,0.01,0.005,1,family_a_W7,0.0211269637296825,-0.02100288687988599,41
circle_r15_v5,2.0,0.01,0.005,1,family_a_midspan_W5,0.011435555895393955,0.011238675786923778,41
circle_r15_v5,2.0,0.01,0.005,2,forward,0.03096599073231106,-0.005593544430642055,41
circle_r15_v5,2.0,0.01,0.005,2,central,0.027557941911957654,-0.022433746238796487,41
circle_r15_v5,2.0,0.01,0.005,2,cubic_global,0.02736022096829826,0.0010652722207527715,41
circle_r15_v5,2.0,0.01,0.005,2,smoothing_spline,0.24334813804733588,0.022183744371098817,41
circle_r15_v5,2.0,0.01,0.005,2,savgol_w5p2,0.0768113842371001,-0.07576288044733324,41
circle_r15_v5,2.0,0.01,0.005,2,savgol_w7p3,0.020259931704866056,0.0016124572887718496,41
circle_r15_v5,2.0,0.01,0.005,2,savgol_w9p3,0.013303557189639294,-0.00012840063110536494,41
circle_r15_v5,2.0,0.01,0.005,2,savgol_w11p3,0.008898689158003615,-0.0035602699636615763,41
circle_r15_v5,2.0,0.01,0.005,2,family_a_W3,0.010726356963394154,-0.0004351585310673048,41
circle_r15_v5,2.0,0.01,0.005,2,family_a_W5,0.008730085723363385,-0.006178767034607108,41
