scenario,method,fs,noise_sigma,rmse_med,rmse_iqr,bias_med,n_seeds
circle_r15_v5,savgol_w7p3,5.0,0.05,0.1274389097190604,0.01326435831247609,0.002253705606081746,10
circle_r15_v5,savgol_w7p3,5.0,0.2,0.5027311692246443,0.03226727063540635,0.030872956044654357,10
circle_r15_v5,savgol_w7p3,10.0,0.0,0.060206071235304554,0.12320572957110994,-1.2831323350773853e-06,10
circle_r15_v5,savgol_w7p3,10.0,0.01,0.08570626625369003,0.08180765894795805,0.0010320502757701748,10
circle_r15_v5,savgol_w7p3,10.0,0.05,0.255412988435929,0.023972553981971845,0.008724753526426245,10
circle_r15_v5,savgol_w7p3,10.0,0.2,0.9744469717772591,0.0505362438401612,0.11032805682169894,10
circle_r15_v5,savgol_w7p3,50.0,0.0,0.3087271252116057,0.6274456162081856,-2.053559105474347e-09,10
circle_r15_v5,savgol_w7p3,50.0,0.01,0.457925647328476,0.42503254372796967,0.006735023647814179,10
circle_r15_v5,savgol_w7p3,50.0,0.05,1.3155340595013052,0.1443218723124664,0.16830067602405419,10
circle_r15_v5,savgol_w7p3,50.0,0.2,4.85193305649721,0.0940425134436369,2.8293205952886047,10
circle_r15_v5,savgol_w9p3,2.0,0.0,0.008633468987316413,0.014917987862027936,-0.0025195647057092716,10
circle_r15_v5,savgol_w9p3,2.0,0.01,0.010683853154456958,0.009427438546456819,-0.002574507714735004,10
circle_r15_v5,savgol_w9p3,2.0,0.05,0.03448872252903834,0.004552473531344893,-0.001736804168918419,10
circle_r15_v5,savgol_w9p3,2.0,0.2,0.1332324147141253,0.041065214245894585,0.004916139414641837,10
circle_r15_v5,savgol_w9p3,5.0,0.0,0.01795148239830344,0.041161588129938864,-6.532057970136259e-05,10
circle_r15_v5,savgol_w9p3,5.0,0.01,0.026906750016454414,0.026714895847053173,-1.4004964017080142e-05,10
circle_r15_v5,savgol_w9p3,5.0,0.05,0.08247565975758787,0.006171392625329619,0.0007342113684326397,10
circle_r15_v5,savgol_w9p3,5.0,0.2,0.32411391653486454,0.025455422040727316,0.011360236770263432,10
circle_r15_v5,savgol_w9p3,10.0,0.0,0.037090257968699754,0.08190298323158605,-4.089904943722719e-06,10
circle_r15_v5,savgol_w9p3,10.0,0.01,0.0575729687330961,0.05048310466512369,0.0007196230650860039,10
circle_r15_v5,savgol_w9p3,10.0,0.05,0.17354838976702597,0.02199044135974587,0.004490383661921164,10
circle_r15_v5,savgol_w9p3,10.0,0.2,0.6648446232789919,0.06572219789108835,0.048145964791398266,10
circle_r15_v5,savgol_w9p3,50.0,0.0,0.20741914795985827,0.4164085313713474,-6.547526262196832e-09,10
circle_r15_v5,savgol_w9p3,50.0,0.01,0.3062416924369446,0.2845947042621297,0.003149166161157349,10
circle_r15_v5,savgol_w9p3,50.0,0.05,0.881100109275202,0.104942100780263,0.07408403396998474,10
circle_r15_v5,savgol_w9p3,50.0,0.2,3.158098677578087,0.08145358056054253,1.2727643902277759,10
circle_r15_v5,smoothing_spline,2.0,0.0,0.24333648177595726,7.047552353101061e-05,0.022874157761119448,10
circle_r15_v5,smoothing_spline,2.0,0.01,0.2432497910321304,0.00017860390086582578,0.022845433289524614,10
circle_r15_v5,smoothing_spline,2.0,0.05,0.24291441531419833,0.00043403311906234365,0.022750908524305922,10
circle_r15_v5,smoothing_spline,2.0,0.2,0.24253297695985437,0.0023574548578431387,0.02245612763012783,10
circle_r15_v5,smoothing_spline,5.0,0.0,0.22285972718154765,0.00014518097730156776,0.031985899073164674,10
circle_r15_v5,smoothing_spline,5.0,0.01,0.22285764467855812,0.00018051116885017815,0.031913274239066654,10
circle_r15_v5,smoothing_spline,5.0,0.05,0.22271963616748525,0.0009726881841816692,0.03162415325544658,10
circle_r15_v5,smoothing_spline,5.0,0.2,0.22296032891288053,0.00331299914178379,0.030559571521962894,10
circle_r15_v5,smoothing_spline,10.0,0.0,0.21916385383627077,4.1028828181549626e-05,0.031776744538810936,10
circle_r15_v5,smoothing_spline,10.0,0.01,0.21904239839247522,0.00035745069656753503,0.03159564930334789,10
circle_r15_v5,smoothing_spline,10.0,0.05,0.21858193387947925,0.0015567610873720716,0.03097471193015861,10
circle_r15_v5,smoothing_spline,10.0,0.2,0.21775932199640158,0.005897000743444625,0.028724440730480874,10
circle_r15_v5,smoothing_spline,50.0,0.0,0.216091794456137,2.2546595530414937e-05,0.03162460056396471,10
circle_r15_v5,smoothing_spline,50.0,0.01,0.2160569995375511,8.540348641206119e-05,0.03160608139291998,10
circle_r15_v5,smoothing_spline,50.0,0.05,0.21591638560112586,0.00038751450988291913,0.03153431195564965,10
circle_r15_v5,smoothing_spline,50.0,0.2,0.2155680465395977,0.0016236977750576087,0.03126886230807523,10
circle_r5_v2,central,2.0,0.0,0.013306692049387843,2.1879063942312205e-06,-0.013306692049387843,10
circle_r5_v2,central,2.0,0.01,0.018618561255448314,0.001405761482432502,-0.012572924201448359,10
circle_r5_v2,central,2.0,0.05,0.06481187289459361,0.01180745242194007,-0.008743317613281835,10
circle_r5_v2,central,2.0,0.2,0.25013687986619826,0.05554006617943161,0.019518259213468753,10
circle_r5_v2,central,5.0,0.0,0.0021326507706826807,1.247122238984353e-06,-0.002132650770682681,10
circle_r5_v2,central,5.0,0.01,0.03466658189202484,0.004121528214672009,-0.0018312590095829623,10
circle_r5_v2,central,5.0,0.05,0.17260525021602013,0.01937206941407546,0.005674840179860902,10
circle_r5_v2,central,5.0,0.2,0.6816881090602935,0.05728938673982886,0.13350094171425408,10
circle_r5_v2,central,10.0,0.0,0.000534011816813668,1.664486396760938e-06,-0.0005333935527800653,10
circle_r5_v2,central,10.0,0.01,0.07088496389850968,0.005192056793319577,0.000446412173009354,10
circle_r5_v2,central,10.0,0.05,0.35209387742818576,0.01930926942513106,0.027833753822449774,10
circle_r5_v2,central,10.0,0.2,1.3102132166103508,0.017982411813621146,0.5463180370321896,10
circle_r5_v2,central,50.0,0.0,2.227031958976883e-05,1.8929728105701309e-06,-2.165024490829091e-05,10
circle_r5_v2,central,50.0,0.01,0.35489454996814485,0.016727957684591344,0.032388631386046404,10
circle_r5_v2,central,50.0,0.05,1.7019022176795686,0.10107773839666612,0.8949764601555831,10
circle_r5_v2,central,50.0,0.2,8.662170998578638,0.513069054596782,7.13620733272958,10
circle_r5_v2,cubic_global,2.0,0.0,4.288948860441853e-05,2.6824660527468495e-07,-2.454482721971477e-05,10
circle_r5_v2,cubic_global,2.0,0.01,0.022200517042493904,0.001820072813871372,0.0008726360203236533,10
circle_r5_v2,cubic_global,2.0,0.05,0.11056597666066209,0.009840845570917883,0.007415766362847386,10
circle_r5_v2,cubic_global,2.0,0.2,0.437828020801579,0.0640210149981652,0.06983113211405459,10
circle_r5_v2,cubic_global,5.0,0.0,3.959359386727128e-06,8.021436373947861e-08,-8.692280833450521e-07,10
