sequence,n_frames,central_M2,central_M3sm,central_M4,family_a_W5_M2,family_a_W5_M3sm,family_a_W5_M4,family_a_W7_M2,family_a_W7_M3sm,family_a_W7_M4
025e793e_00,3347,0.07805157216628501,0.008810623763196133,0.002688977383859989,0.07775714552759515,0.005440850928794615,0.00649849289710051,0.07801190662866062,0.004667535086316536,0.008820840487109585
025e793e_01,5790,0.10809284124378367,0.013523547168520243,0.005463837442957362,0.10765332280138225,0.009116978555121771,0.01009467307069233,0.10744798912419304,0.00789642337646913,0.013575972109940685
025e793e_02,2440,0.06653288556023391,0.010129750234387754,0.002932026795463419,0.06640716478506097,0.005873462858226609,0.00768857260251365,0.06687370892507168,0.005011997907259876,0.010321808448066707
025e793e_03,4868,0.07392465565932733,0.008975946167053604,0.00283052197828882,0.07366604212452275,0.005775070453507807,0.005972365629750081,0.07288281955226185,0.005046244987980633,0.008193912726658904
025e793e_04,7897,0.09821924527371458,0.010947065238681875,0.003710538805449128,0.09799976481831198,0.007382796582963775,0.007737087717453002,0.09799510990878757,0.00638727432941026,0.010882777151204667
025e793e_05,3349,0.14154769406802475,0.0121831240001615,0.0047542736010250325,0.1402013817392026,0.008150245847034372,0.009050855692593793,0.14068584301423798,0.006905132990179685,0.012008525922115623
027a633e_00,16097,0.056828385782312696,0.0067974009684931115,0.0025836173324242998,0.05645404022847818,0.0041689164844669864,0.004946017887408045,0.05666553792919746,0.00356601577800189,0.0064725364063854245
027a633e_01,1855,0.10717465725574092,0.015322717829867733,0.00529403349771909,0.10668928738724096,0.008136503046993865,0.012343016500128217,0.10716855678330565,0.006834024775906733,0.01543911818385738
027a633e_02,1013,0.032440325309750766,0.00603296988932052,0.0023434880207179637,0.036482346294293436,0.003750117067262055,0.002671676578612222,0.036361146943942116,0.0033430315158334226,0.004139343970852654
027a633e_03,941,0.19180566554102102,0.012640409202353105,0.0045722020009704,0.1913840196200661,0.007605924485832552,0.009277297495210494,0.18894352442316928,0.006405522878945724,0.012467443739145061
027a633e_04,799,0.14044953661266976,0.015405846330305374,0.0051480793777133665,0.14005042633668938,0.008191817398083133,0.012004897033500519,0.14297637641201286,0.006771167738051698,0.01579972953589837
027a633e_05,1791,0.12761331381841373,0.013793561447197131,0.003945036627335114,0.130753243102725,0.0070587617354476015,0.010720349570198271,0.13071634758271508,0.005533475547222045,0.01377788773640495
027a633e_06,1117,0.18720350099677943,0.01654097898581923,0.0074743511001840795,0.18653624871866953,0.008551004405886808,0.01562522863039369,0.18596503273106704,0.006777961592370879,0.019542747727223083
027a633e_07,12689,0.1765769479963517,0.01522776184144907,0.005013994204702299,0.17724913029476425,0.007698010952283064,0.012178954917841628,0.17628123289671593,0.00617932313381035,0.015642196262852456
027a633e_08,2983,0.1702835353164556,0.01934415990078363,0.006106899369606543,0.16814586027066503,0.0083960009411404,0.01536587685008897,0.16829341537167433,0.006431522717563063,0.01971150661678595
027a633e_09,987,0.19028063397302947,0.0111452440033339,0.004622649353097323,0.1891924954473362,0.006897727024039942,0.008901752732850729,0.18898699924621992,0.005738714570619732,0.011995784840126074
027a633e_10,1625,0.17266151732684915,0.01776655745179871,0.00656898665022638,0.17460221446803878,0.008345477499218225,0.014628431476435349,0.17440495207067708,0.006552385990922015,0.017874886161347595
027a633e_11,207,0.22846224200617207,0.014109746939063146,0.0049316108594930665,0.22750449774411755,0.00787318222957981,0.011148888577791664,0.22875326092624293,0.006738460084503078,0.01474055311856904
027a633e_12,535,0.0744498464854117,0.01277208259529888,0.0034085086413433753,0.07364062868053411,0.0075008643066874735,0.008275736237944722,0.07338739162867118,0.006490062319010869,0.009862873395471046
027a633e_13,1043,0.0761307207277612,0.014474334564808657,0.005338489596539841,0.07570223247586824,0.007514075327568249,0.012414420009812941,0.07546942744100336,0.006412835462877954,0.01606307340750325
027a633e_14,2324,0.0624426163496612,0.010385243560316382,0.01143581832433382,0.062059042673819585,0.0062299327912140445,0.013089962905947657,0.061984978708671125,0.005157225637743837,0.014598756763436646
027a633e_15,2539,0.08207593583279513,0.010359631981048022,0.01126785899128837,0.07987234040414017,0.006186634017877792,0.013297589718877442,0.07962292328228311,0.005424524902858859,0.01471993393512686
027a633e_16,5964,0.12830850764206972,0.016326007621403644,0.005419774072165834,0.1285168557335959,0.007944930853365445,0.013516057588874543,0.12743835664685935,0.006295415231497998,0.01726894216420994
027a633e_17,4107,0.16249160100712107,0.019053575946196864,0.006535545386721551,0.16201802455721093,0.008337387316137486,0.016252011519079526,0.16057328062900916,0.006521176770256734,0.020171323415167253
027a633e_18,1919,0.1247392771328598,0.016321772264364456,0.005597648233162331,0.12415885464737735,0.007325799445768334,0.013412886335496739,0.12409970363777281,0.0057420673367165305,0.01672821753137445
027a633e_19,379,,0.013256605763458293,0.00469426627707784,,0.004392968742741136,0.012225951037235606,,0.0030258898193980645,0.014765727953871963
027a633e_20,3273,0.12813399842569678,0.008600731163389825,0.004122418473630024,0.12887369635886867,0.005388023758115826,0.006811672745437865,0.12773166070674752,0.0047825592374335455,0.008674242051521367
027a633e_21,626,,0.012229719498224,0.004366700991280445,,0.006502408836783076,0.009436818369389918,,0.005501942707064676,0.011853815788166723
027a633e_22,1128,0.2107688923543932,0.015926528928281593,0.004916044403829755,0.2093658816375064,0.008422955471609678,0.012328769439521846,0.21463950343965876,0.006894091926214565,0.015920638939883602
0281c09f_00,2146,0.1364449824246501,0.013780364751199294,0.004939867953800185,0.1356628421900013,0.008771924928556144,0.010012291287377307,0.1357835510786554,0.007222053533034793,0.012937208035037234
0281c09f_01,14658,0.07784368886778778,0.010016429951635614,0.005264462147057136,0.07742837528066601,0.005334241455955548,0.009023318572959302,0.07713258082162884,0.0043359578785443,0.011257969303210554
