ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n,sequence
5,2.001529837956122,0.05,0.02,family_a_W7,0.13558424606871328,4288,bridge01
5,2.0,0.2,0.0,central,0.30125852892666877,4288,bridge01
5,2.0,0.2,0.0,savgol_w7p3,0.21883921541220944,4288,bridge01
5,2.0,0.2,0.0,smoothing_spline_default,0.5152740405281705,4288,bridge01
5,2.0,0.2,0.0,smoothing_spline_tuned,0.14644943923137332,4288,bridge01
5,2.0,0.2,0.0,family_a_W5,0.12668656241646822,4288,bridge01
5,2.0,0.2,0.0,family_a_W7,0.12978495508380392,4288,bridge01
5,1.9993485162662832,0.2,0.005,central,0.3187571179324202,4288,bridge01
5,1.9993485162662832,0.2,0.005,savgol_w7p3,0.22166617660454185,4288,bridge01
5,1.9993485162662832,0.2,0.005,smoothing_spline_default,0.5072452820914636,4288,bridge01
5,1.9993485162662832,0.2,0.005,smoothing_spline_tuned,0.15457196420355962,4288,bridge01
5,1.9993485162662832,0.2,0.005,family_a_W5,0.13465101810321392,4288,bridge01
5,1.9993485162662832,0.2,0.005,family_a_W7,0.13335994286887232,4288,bridge01
5,2.00206747676124,0.2,0.02,central,0.44631468716103234,4288,bridge01
5,2.00206747676124,0.2,0.02,savgol_w7p3,0.22441329153547182,4288,bridge01
5,2.00206747676124,0.2,0.02,smoothing_spline_default,0.5004459814866847,4288,bridge01
5,2.00206747676124,0.2,0.02,smoothing_spline_tuned,0.37078353320366864,4288,bridge01
5,2.00206747676124,0.2,0.02,family_a_W5,0.17432786261381034,4288,bridge01
5,2.00206747676124,0.2,0.02,family_a_W7,0.14706508708096208,4288,bridge01
5,2.0,0.5,0.0,central,0.7553429385628857,4288,bridge01
5,2.0,0.5,0.0,savgol_w7p3,0.5418789041123185,4288,bridge01
5,2.0,0.5,0.0,smoothing_spline_default,0.4703772563347073,4288,bridge01
5,2.0,0.5,0.0,smoothing_spline_tuned,0.22025388649156052,4288,bridge01
5,2.0,0.5,0.0,family_a_W5,0.26856510984619514,4288,bridge01
5,2.0,0.5,0.0,family_a_W7,0.19298439174649348,4288,bridge01
5,1.999756658225008,0.5,0.005,central,0.759806363688627,4288,bridge01
5,1.999756658225008,0.5,0.005,savgol_w7p3,0.5406620801931018,4288,bridge01
5,1.999756658225008,0.5,0.005,smoothing_spline_default,0.4774551910240715,4288,bridge01
5,1.999756658225008,0.5,0.005,smoothing_spline_tuned,0.24862009276885186,4288,bridge01
5,1.999756658225008,0.5,0.005,family_a_W5,0.27111260731331727,4288,bridge01
5,1.999756658225008,0.5,0.005,family_a_W7,0.19677256620137387,4288,bridge01
5,2.000006708937457,0.5,0.02,central,0.8479655925510866,4288,bridge01
