ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n
10,1.0000275386940523,0.05,0.005,family_a_W5,0.13690097132637968,2414
10,1.0000275386940523,0.05,0.005,family_a_W7,0.1972195999302052,2414
10,1.0002102744279497,0.05,0.02,central,0.0945993863129937,2414
10,1.0002102744279497,0.05,0.02,savgol_w7p3,0.08472593573824198,2414
10,1.0002102744279497,0.05,0.02,smoothing_spline_default,0.4359447701178227,2414
10,1.0002102744279497,0.05,0.02,smoothing_spline_tuned,0.11348425332376925,2414
10,1.0002102744279497,0.05,0.02,family_a_W5,0.1386254198767569,2414
10,1.0002102744279497,0.05,0.02,family_a_W7,0.1976580755561693,2414
10,0.9999997440000443,0.2,0.0,central,0.1643486834831103,2414
10,0.9999997440000443,0.2,0.0,savgol_w7p3,0.13615376891904582,2414
10,0.9999997440000443,0.2,0.0,smoothing_spline_default,0.43293097454213,2414
10,0.9999997440000443,0.2,0.0,smoothing_spline_tuned,0.16619585656061805,2414
10,0.9999997440000443,0.2,0.0,family_a_W5,0.1455643610150664,2414
10,0.9999997440000443,0.2,0.0,family_a_W7,0.198837268421808,2414
10,0.9998661481184591,0.2,0.005,central,0.16658205352044397,2414
10,0.9998661481184591,0.2,0.005,savgol_w7p3,0.13642480867371543,2414
10,0.9998661481184591,0.2,0.005,smoothing_spline_default,0.4269129171216603,2414
10,0.9998661481184591,0.2,0.005,smoothing_spline_tuned,0.17178036995866727,2414
10,0.9998661481184591,0.2,0.005,family_a_W5,0.14640986046102533,2414
10,0.9998661481184591,0.2,0.005,family_a_W7,0.19851865249617823,2414
10,1.0000067287965357,0.2,0.02,central,0.16989618011397736,2414
10,1.0000067287965357,0.2,0.02,savgol_w7p3,0.13151349014670455,2414
10,1.0000067287965357,0.2,0.02,smoothing_spline_default,0.4234387506232504,2414
10,1.0000067287965357,0.2,0.02,smoothing_spline_tuned,0.16574914476806446,2414
10,1.0000067287965357,0.2,0.02,family_a_W5,0.14640775050634144,2414
10,1.0000067287965357,0.2,0.02,family_a_W7,0.1992620090357056,2414
10,0.9999997440000443,0.5,0.0,central,0.3788489659339848,2414
10,0.9999997440000443,0.5,0.0,savgol_w7p3,0.2816102414623159,2414
10,0.9999997440000443,0.5,0.0,smoothing_spline_default,0.4084926780110141,2414
10,0.9999997440000443,0.5,0.0,smoothing_spline_tuned,0.22687660699152382,2414
10,0.9999997440000443,0.5,0.0,family_a_W5,0.18891003360530206,2414
10,0.9999997440000443,0.5,0.0,family_a_W7,0.21197548923424223,2414
10,0.9999404310049714,0.5,0.005,central,0.39735682489668006,2414
10,0.9999404310049714,0.5,0.005,savgol_w7p3,0.295623792631318,2414
10,0.9999404310049714,0.5,0.005,smoothing_spline_default,0.41687055792079114,2414
10,0.9999404310049714,0.5,0.005,smoothing_spline_tuned,0.22705860591544327,2414
10,0.9999404310049714,0.5,0.005,family_a_W5,0.1928933261005729,2414
10,0.9999404310049714,0.5,0.005,family_a_W7,0.21577229334090756,2414
10,0.9996910021878257,0.5,0.02,central,0.3939946940915319,2414
10,0.9996910021878257,0.5,0.02,savgol_w7p3,0.2869744519689716,2414
10,0.9996910021878257,0.5,0.02,smoothing_spline_default,0.4076743898818851,2414
10,0.9996910021878257,0.5,0.02,smoothing_spline_tuned,0.22006767380707762,2414
10,0.9996910021878257,0.5,0.02,family_a_W5,0.18847791300371375,2414
10,0.9996910021878257,0.5,0.02,family_a_W7,0.21217101898903107,2414
