ds_factor,noise_sigma,jitter_sigma,method,median,q1,q3
10,0.0,0.0,savgol_w7p3,0.09238590060015323,0.08191118918382223,0.10717892873236365
10,0.0,0.0,smoothing_spline_default,0.503034852093755,0.49669799524798575,0.5112572707243481
10,0.0,0.0,smoothing_spline_tuned,0.15406860437049363,0.11079945624999032,0.1787783973751197
10,0.0,0.005,central,0.08252936192964022,0.07024083466791675,0.09467003589599444
10,0.0,0.005,family_a_W5,0.1806075141864526,0.1591165654639169,0.20597281358453964
10,0.0,0.005,family_a_W7,0.27151881694959656,0.24487485235699227,0.2884419735085234
10,0.0,0.005,savgol_w7p3,0.09252524779747118,0.08192104197248712,0.10725983606869466
10,0.0,0.005,smoothing_spline_default,0.5081483326024335,0.49867037209392834,0.5181730874602148
10,0.0,0.005,smoothing_spline_tuned,0.15624525882913892,0.11003020520698442,0.18008896512879755
10,0.0,0.02,central,0.13359620766970887,0.10508145860330864,0.16549426812066112
10,0.0,0.02,family_a_W5,0.18581411692350253,0.16421075689320802,0.209933509466326
10,0.0,0.02,family_a_W7,0.27232879781714653,0.24515289220183817,0.29059543678064037
10,0.0,0.02,savgol_w7p3,0.09285682091100639,0.08246479919627189,0.1075228750306479
10,0.0,0.02,smoothing_spline_default,0.5048730791148417,0.4974207443693912,0.5161573962536031
10,0.0,0.02,smoothing_spline_tuned,0.1577394768186432,0.12001753225929625,0.19978333026630152
10,0.05,0.0,central,0.08451278372969923,0.0748765113994846,0.09632958130525233
10,0.05,0.0,family_a_W5,0.18073020510132481,0.1595737984972551,0.20649512018707
10,0.05,0.0,family_a_W7,0.2716168515535678,0.24443080482735938,0.2887262311227383
10,0.05,0.0,savgol_w7p3,0.09628745454858176,0.08600060900801064,0.11051848224671057
10,0.05,0.0,smoothing_spline_default,0.5041950469081931,0.49740848876575283,0.5112453808892562
10,0.05,0.0,smoothing_spline_tuned,0.1635039734141859,0.13471058290410015,0.18683156272404855
10,0.05,0.005,central,0.0908672381749132,0.08009241705800058,0.0998229192420022
10,0.05,0.005,family_a_W5,0.18090564040802143,0.15983554220268764,0.20578515327612462
10,0.05,0.005,family_a_W7,0.2716146897166125,0.24461665619268255,0.2879826165597905
10,0.05,0.005,savgol_w7p3,0.09693924333982859,0.08632113413690946,0.11043137025634933
